"Geography","Population mid-2018 (millions)"
"AFRICA","1,284"
"Algeria","42.7"
"Egypt","97"
"Libya","6.5"
"Morocco","35.2"
"Sudan","41.7"
"Tunisia","11.6"
"Western Sahara","0.6"
"Benin","11.5"
"Burkina Faso","20.3"
"Cape Verde","0.6"
"Cote d'Ivoire","24.9"
"Gambia","2.2"
"Ghana","29.5"
"Guinea","11.9"
"Guinea-Bissau","1.9"
"Liberia","4.9"
"Mali","19.4"
"Mauritania","4.5"
"Niger","22.2"
"Nigeria","195.9"
"Senegal","16.3"
"Sierra Leone","7.7"
"Togo","8"
"Burundi","11.8"
"Comoros","0.8"
"Djibouti","1"
"Eritrea","6"
"Ethiopia","107.5"
"Kenya","51"
"Madagascar","26.3"
"Malawi","19.1"
"Mauritius","1.3"
"Mozambique","30.5"
"Rwanda","12.6"
"Seychelles","0.1"
"Somalia","15.2"
"South Sudan","13"
"Tanzania","59.1"
"Uganda","44.1"
"Zambia","17.7"
"Zimbabwe","14"
"Angola","30.4"
"Cameroon","25.6"
"Central African Republic","4.7"
"Chad","15.4"
"Congo","5.4"
"Congo, Dem. Rep.","84.3"
"Equatorial Guinea","1.3"
"Gabon","2.1"
"Sao Tome and Principe","0.2"
"Botswana","2.2"
"eSwatini","1.4"
"Lesotho","2.3"
"Namibia","2.5"
"South Africa","57.7"
"NORTHERN AMERICA","365"
"Canada","37.2"
"United States","328"
"LATIN AMERICA AND THE CARIBBEAN","649"
"Belize","0.4"
"Costa Rica","5"
"El Salvador","6.5"
"Guatemala","17.2"
"Honduras","9"
"Mexico","130.8"
"Nicaragua","6.3"
"Panama","4.2"
"Antigua and Barbuda","0.1"
"Bahamas","0.4"
"Barbados","0.3"
"Cuba","11.1"
"Curacao","0.2"
"Dominica","0.07"
"Dominican Republic","10.8"
"Grenada","0.1"
"Haiti","10.8"
"Jamaica","2.9"
"Puerto Rico","3.3"
"St. Kitts-Nevis","0.05"
"Saint Lucia","0.2"
"St. Vincent and the Grenadines","0.1"
"Trinidad and Tobago","1.4"
"Argentina","44.5"
"Bolivia","11.3"
"Brazil","209.4"
"Chile","18.6"
"Colombia","49.8"
"Ecuador","17"
"Guyana","0.8"
"Paraguay","6.9"
"Peru","32.2"
"Suriname","0.6"
"Uruguay","3.5"
"Venezuela","31.8"
"ASIA","4,536"
"Armenia","3"
"Azerbaijan","9.9"
"Bahrain","1.5"
"Cyprus","1.2"
"Georgia","3.9"
"Iraq","40.2"
"Israel","8.5"
"Jordan","10.2"
"Kuwait","4.2"
"Lebanon","6.1"
"Oman","4.7"
"Qatar","2.7"
"Saudi Arabia","33.4"
"Syria","18.3"
"Turkey","81.3"
"United Arab Emirates","9.5"
"Yemen","28.9"
"Kazakhstan","18.4"
"Kyrgyzstan","6.1"
"Tajikistan","9.1"
"Turkmenistan","5.9"
"Uzbekistan","32.9"
"Afghanistan","36.5"
"Bangladesh","166.4"
"Bhutan","0.8"
"India","1,371.3"
"Iran","81.6"
"Maldives","0.4"
"Nepal","29.7"
"Pakistan","200.6"
"Sri Lanka","21.7"
"Brunei","0.4"
"Cambodia","16"
"Indonesia","265.2"
"Laos","7"
"Malaysia","32.5"
"Myanmar","53.9"
"Philippines","107"
"Singapore","5.8"
"Thailand","66.2"
"Timor-Leste","1.2"
"Vietnam","94.7"
"China","1,393.8"
"Japan","126.5"
"Korea, North","25.6"
"Korea, South","51.8"
"Mongolia","3.2"
"Taiwan","23.6"
"EUROPE","746"
"Denmark","5.8"
"Estonia","1.3"
"Finland","5.5"
"Iceland","0.4"
"Ireland","4.9"
"Latvia","1.9"
"Lithuania","2.8"
"Norway","5.3"
"Sweden","10.2"
"United Kingdom","66.4"
"Austria","8.8"
"Belgium","11.4"
"France","65.1"
"Germany","82.8"
"Liechtenstein","0.04"
"Luxembourg","0.6"
"Monaco","0.04"
"Netherlands","17.2"
"Switzerland","8.5"
"Belarus","9.5"
"Bulgaria","7"
"Czechia","10.6"
"Hungary","9.8"
"Moldova","3.5"
"Poland","38.4"
"Romania","19.5"
"Russia","147.3"
"Slovakia","5.4"
"Ukraine","42.3"
"Albania","2.9"
"Andorra","0.08"
"Bosnia-Herzegovina","3.5"
"Croatia","4.1"
"Greece","10.6"
"Italy","60.6"
"Kosovo","1.8"
"Macedonia","2.1"
"Malta","0.5"
"Montenegro","0.6"
"Portugal","10.3"
"San Marino","0.03"
"Serbia","7"
"Slovenia","2.1"
"Spain","46.7"
"OCEANIA","41"
"Australia","24.1"
"Federated States of Micronesia","0.1"
"Fiji","0.9"
"French Polynesia","0.3"
"Guam","0.2"
"Kiribati","0.1"
"Marshall Islands","0.06"
"Nauru","0.01"
"New Caledonia","0.3"
"New Zealand","4.9"
"Palau","0.02"
"Papua New Guinea","8.5"
"Samoa","0.2"
"Solomon Islands","0.7"
"Tonga","0.1"
"Tuvalu","0.01"
"Vanuatu","0.3"
