page,country,rev_id
Template:ZambiaProvincialMinisters,Zambia,235107991
Bir I of Kanem,Chad,355319463
Template:Zimbabwe-politician-stub,Zimbabwe,391862046
Template:Uganda-politician-stub,Uganda,391862070
Template:Namibia-politician-stub,Namibia,391862409
Template:Nigeria-politician-stub,Nigeria,391862819
Template:Colombia-politician-stub,Colombia,391863340
Template:Chile-politician-stub,Chile,391863361
Template:Fiji-politician-stub,Fiji,391863617
Template:Solomons-politician-stub,Solomon Islands,391863809
Information Minister of the Palestinian National Authority,Palestinian Territory,393276188
Template:Somalia-politician-stub,Somalia,393298432
Yos Por,Cambodia,393822005
Template:Slovakia-politician-stub,Slovakia,394482629
Template:Slovenia-politician-stub,Slovenia,394482891
Template:Afghanistan-politician-stub,Afghanistan,394580295
Template:Iraq-politician-stub,Iraq,394580630
Template:Nepal-politician-stub,Nepal,394580939
Template:SriLanka-politician-stub,Sri Lanka,394580993
Template:Laos-politician-stub,Laos,394581284
Template:Albania-politician-stub,Albania,394581557
Template:CostaRica-politician-stub,Costa Rica,394587483
Template:Honduras-politician-stub,Hondura,394587547
Julius Gregr,Czech Republic,395521877
Edvard Gregr,Czech Republic,395526568
Robert Douglas Cook,Canada,401577829
Template:Tunisia-politician-stub,Tunisia,413885084
Template:Guatemala-politician-stub,Guatemala,433871129
Template:BurkinaFaso-politician-stub,Burkina Faso,433871165
Template:Angola-politician-stub,Angola,435008715
Template:Panama-politician-stub,Panama,437454659
Template:Japan-politician-1980s-stub,Japan,437735138
Template:Indonesia-politician-stub,Indonesia,438305657
Template:Madagascar-politician-stub,Madagascar,439671509
Template:Malaysia-politician-stub,Malaysia,439708117
Template:Gabon-politician-stub,Gabon,440397578
Template:Germany-DDP-politician-stub,Germany,440594068
Template:Germany-Centre-politician-stub,Germany,440598656
Template:Liberia-politician-stub,Liberia,441172886
Template:Ghana-politician-stub,Ghana,441186581
Template:Peru-politician-stub,Peru,441771813
Template:Argentina-politician-stub,Argentina,441995465
Template:Catalonia-politician-stub,Spain,442411422
Template:SouthAfrica-politician-stub,South Africa,442913438
List of Grand Viziers of Egypt,Egypt,442937236
Template:CostaRica-mayor-stub,Costa Rica,443468553
Template:Honduras-mayor-stub,Hondura,443469862
Template:Nicaragua-mayor-stub,Nicaragua,443470532
Template:Afghanistan-mayor-stub,Afghanistan,443496992
Template:Bangladesh-mayor-stub,Bangladesh,443497423
Template:Cambodia-mayor-stub,Cambodia,443497605
Template:India-mayor-stub,India,443498496
Template:Iran-mayor-stub,Iran,443499145
Template:Iraq-mayor-stub,Iraq,443499367
Template:Argentina-mayor-stub,Argentina,443521996
Template:Philippines-mayor-stub,Philippines,443628777
Template:SriLanka-mayor-stub,Sri Lanka,443632023
Template:Turkey-mayor-stub,Turkey,443633073
Template:Albania-mayor-stub,Albania,443634517
Template:Austria-mayor-stub,Austria,443640939
Template:Azerbaijan-mayor-stub,Azerbaijan,443641865
Template:Haiti-politician-stub,Haiti,444002354
Template:Greece-mayor-stub,Greece,444023126
Template:Hungary-mayor-stub,Hungary,444023605
Template:Iceland-mayor-stub,Iceland,444023818
Template:Moldova-mayor-stub,Moldova,444031013
Template:Romania-mayor-stub,Romania,444036980
Template:CzechRepublic-mayor-stub,Czech Republic,444371643
Template:Poland-mayor-stub,Poland,444373997
Template:Luxembourg-politician-stub,Luxembourg,444377000
Template:Luxembourg-mayor-stub,Luxembourg,444381930
Template:Denmark-mayor-stub,Denmark,444431830
Template:Namibia-mayor-stub,Namibia,444756008
Template:SouthAfrica-mayor-stub,South Africa,444756369
