page,country,rev_id,ores_score,Geography,Population mid-2018 (millions),_merge
Information Minister of the Palestinian National Authority,Palestinian Territory,393276188,Stub,,,left_only
Julius Gregr,Czech Republic,395521877,Stub,,,left_only
Edvard Gregr,Czech Republic,395526568,Stub,,,left_only
Presidents of the General Council of French Guiana,French Guiana,546364151,Stub,,,left_only
Timoteo Menéndez,Salvadoran,566504165,Start,,,left_only
Gervas Clay,Rhodesian,574571582,Stub,,,left_only
Mavua Mudima,"Congo, Dem. Rep. of",592289232,Stub,,,left_only
Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202,Start,,,left_only
Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729,Start,,,left_only
"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016,Start,,,left_only
"List of members of the Løgting, 1974–78",Faroese,643932216,Start,,,left_only
"List of members of the Løgting, 1978–80",Faroese,643932220,Start,,,left_only
"List of members of the Løgting, 1980–84",Faroese,643932225,Start,,,left_only
"List of members of the Løgting, 1984–88",Faroese,643932226,Start,,,left_only
"List of members of the Løgting, 1990–94",Faroese,643932239,Start,,,left_only
"List of members of the Løgting, 1994–98",Faroese,643932242,Start,,,left_only
James Bisset (mayor),Cape Colony,647367482,Start,,,left_only
Augustus Joseph Tancred,Cape Colony,651250302,Stub,,,left_only
Johan Conrad Silberbauer,Cape Colony,653467222,Stub,,,left_only
List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604,Stub,,,left_only
"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266,Stub,,,left_only
James Cotterell Hoole,Cape Colony,666596918,Stub,,,left_only
Harry Davies (politician),Rhodesian,669387487,Start,,,left_only
Patrick Goold,Cape Colony,670210734,Start,,,left_only
Toluono Feti,Samoan,671515606,Stub,,,left_only
Miroslav Poche,Czech Republic,672862914,Stub,,,left_only
Vojtěch Mynář,Czech Republic,673008587,Stub,,,left_only
Speaker of the Legislative Assembly of Montserrat,Montserratian,674919905,Stub,,,left_only
Andries Botha,Cape Colony,676828191,B,,,left_only
Joaquín Escolán y Balibrera,Salvadoran,679294949,Stub,,,left_only
Charles William Hutton,Cape Colony,680205631,C,,,left_only
Chairman of the Island Council (Pitcairn),Pitcairn Islands,680532939,Stub,,,left_only
Hossam Arafat (politician),Palestinian Territory,680933208,Stub,,,left_only
William Fairbridge,Rhodesian,682576258,Start,,,left_only
Earl Asim Martin,Saint Kitts and Nevis,687127320,Stub,,,left_only
John Blades Currey,Cape Colony,693624260,Stub,,,left_only
Zaur Avidzba,Abkhazia,694519009,Start,,,left_only
"List of members of the Løgting, 1998–2002",Faroese,698865505,Start,,,left_only
José Abel,East Timorese,699698855,Stub,,,left_only
Tórbjørn Poulsen,Faroese,700400143,Stub,,,left_only
Tawfik Tirawi,Palestinian Territory,701106976,Start,,,left_only
Demmus Hentze,Faroese,701771698,Start,,,left_only
Young Vivian,Niuean,703037968,Start,,,left_only
Noel Ahipeaud,Ivorian,703133769,Stub,,,left_only
Claude Lise,Martinique,703216645,Stub,,,left_only
Simon Jenko,Carniolan,703436823,Start,,,left_only
Park In-won,South Korean,703478926,Stub,,,left_only
Paul Southwell,Saint Kitts and Nevis,703666654,Start,,,left_only
Petrus Compton,Saint Lucian,703819839,Stub,,,left_only
Jan Malypetr,Czech Republic,704424304,Stub,,,left_only
Thomas François Burgers,South African Republic,704636517,C,,,left_only
Céleo Arias,Hondura,704789339,Stub,,,left_only
