article_name,country,revision_id,article_quality,population
Bir I of Kanem,Chad,355319463,Stub,15.4
Abdullah II of Kanem,Chad,498683267,Stub,15.4
Salmama II of Kanem,Chad,565745353,Stub,15.4
Kuri I of Kanem,Chad,565745365,Stub,15.4
Mohammed I of Kanem,Chad,565745375,Stub,15.4
Kuri II of Kanem,Chad,669719757,Stub,15.4
Bir II of Kanem,Chad,670893206,Stub,15.4
Mahamat Hissene,Chad,693055898,Stub,15.4
Othman I,Chad,705432607,Stub,15.4
Alphonse Kotiga,Chad,707593108,Stub,15.4
Oueddei Kichidemi,Chad,708346649,Start,15.4
Dunama I,Chad,710675092,Stub,15.4
Ahmad (Kanem-Bornu king),Chad,711388267,Stub,15.4
Djibrine Kerallah,Chad,712971263,Stub,15.4
Maurice Ngangtar,Chad,712971315,Stub,15.4
Idriss Miskine,Chad,712971738,Stub,15.4
Laoukein Kourayo Médard,Chad,716886170,Stub,15.4
Nadji Madou,Chad,716886788,Stub,15.4
Noël Milarew Odingar,Chad,716891799,Start,15.4
Yaya Dillo Djérou,Chad,717733209,Stub,15.4
Acheikh Ibn-Oumar,Chad,719821590,Start,15.4
Quatre Sou Quatre,Chad,720066754,Stub,15.4
Ali Gazi,Chad,722563340,Stub,15.4
Mahamat Djarma Khatir,Chad,725132042,Stub,15.4
Dunama IX Lefiami,Chad,731749611,Stub,15.4
Dawud of Kanem,Chad,736550266,Stub,15.4
Ahmed Koulamallah,Chad,738855197,Start,15.4
Abbo Nassour,Chad,741369486,C,15.4
Abdel Kader Baba-Laddé,Chad,742213176,Stub,15.4
Hummay,Chad,747271475,Stub,15.4
Ngarlejy Yorongar,Chad,751304544,C,15.4
Saleh Kezabo,Chad,751380073,Stub,15.4
Bourkou Louise Kabo,Chad,757072468,Start,15.4
Brahim Koulamallah,Chad,757802238,Stub,15.4
Saadie Goukouni Weddeye,Chad,757842614,Start,15.4
Mahamoud Adam Béchir,Chad,762579466,Start,15.4
Kalthouma Nguembang,Chad,762816132,Stub,15.4
Djidingar Dono Ngardoum,Chad,764133533,Stub,15.4
Youssouf Saleh Abbas,Chad,771052289,B,15.4
Koibla Djimasta,Chad,774223245,Start,15.4
Nassour Guelendouksia Ouaido,Chad,774223248,C,15.4
Joseph Brahim Seid,Chad,777478442,Stub,15.4
Joseph Yodoyman,Chad,777550078,Start,15.4
Antoine Bangui,Chad,782638002,Start,15.4
Ibrahim IV of Bornu,Chad,785614014,Stub,15.4
Hadjé Halimé,Chad,786449636,C,15.4
Youssouf Togoïmi,Chad,787390241,Start,15.4
Adoum Younousmi,Chad,787719236,Start,15.4
François Tombalbaye,Chad,787738541,C,15.4
Ahmat Hassaballah Soubiane,Chad,787910771,Stub,15.4
Ahmad Allam-Mi,Chad,787921293,Start,15.4
Laotegguelnodji Koumtog,Chad,788009613,Stub,15.4
Mahamat Ali Adoum,Chad,788014671,Start,15.4
Mahamat Saleh Annadif,Chad,788658822,Start,15.4
Mohamed Bechir-Sow,Chad,788827248,Stub,15.4
Gontchomé Sahoulba,Chad,788828388,Start,15.4
Gabriel Lisette,Chad,788828519,Start,15.4
Ali II of Bornu,Chad,788999424,Stub,15.4
Arabi El Goni,Chad,789126126,Stub,15.4
Dunama Dabbalemi,Chad,789935196,Start,15.4
Idris Alooma,Chad,792734868,Start,15.4
