median_household_income,zip
92240,60607
33959,60609
63106,60625
86534,60646
65770,60652
67482,60805
96040,60611
46340,60616
36283,60651
114565,60604
38756,60612
79565,60613
38417,60617
66246,60618
22467,60624
39163,60626
70122,60630
42335,60632
50589,60645
28411,60653
104629,60654
88708,60657
50554,60659
55566,60707
140114,60603
100116,60614
41679,60615
32558,60619
19845,60621
27573,60636
41307,60639
59488,60643
68223,60647
92797,60642
60575,60656
38206,60628
56488,60641
110215,60601
41226,60608
33304,60620
62223,60634
28024,60637
27617,60644
107811,60605
139179,60606
31445,60623
41856,60629
50164,60633
67045,60638
50488,60640
24941,60649
94524,60655
104714,60661
31008,60827
82226,60631
81576,60610
87143,60622
45442,60660
115774,60602
